;meanBlue;meanRed;sdBlue;skewnessBlue;dfRG;dfRB;dfGB;entropyBlue;energyBlue;contrastBlue;homogeneityBlue;coverage;cloudType
630;164,0070801;95,26763916;50,25814383;-1,964513208;-54,29522705;-68,73944092;-14,44421387;-5,549754407;0,00518375;4,8066;0,697259666;0,180725098;2
631;170,4837036;105,8978271;52,92831006;-1,820224231;-52,71466064;-64,58587646;-11,87121582;-5,595370956;0,00497067;4,9216;0,68774095;0,21081543;2
632;183,2073975;102,6697998;52,16970463;-2,502227926;-58,37927246;-80,53759766;-22,1583252;-5,781437938;0,00485356;7,649;0,64421281;0,06640625;2
633;137,4857788;113,7603149;50,49394211;-0,58168706;-31,54882813;-23,72546387;7,823364258;-5,721551095;0,00350052;6,4628;0,651967253;0,601135254;2
634;139,6109009;100,8031616;55,07706053;-0,351251398;-40,64776611;-38,80773926;1,840026855;-5,592919428;0,00461738;10,8626;0,634059085;0,270202637;2
635;157,2668457;122,8104858;56,0906662;-1,250714833;-40,1385498;-34,45635986;5,682189941;-5,651621525;0,00537393;7,8512;0,643952692;0,459472656;2
636;144,953125;79,67468262;51,58539458;-1,048747898;-52,30841064;-65,27844238;-12,97003174;-5,724624572;0,00443424;4,335;0,689486567;0,106689453;2
637;142,8648071;81,23394775;50,32352404;-1,130321009;-50,59436035;-61,63085938;-11,03649902;-5,841559195;0,00385584;6,194;0,678732039;0,10333252;2
638;143,4526367;96,88897705;46,61579277;-1,419398306;-42,2947998;-46,56365967;-4,268859863;-5,744761178;0,00553295;6,9346;0,6641311;0,16015625;2
639;162,4508667;111,1731567;54,58987461;-1,181963222;-43,70123291;-51,27770996;-7,576477051;-5,692749946;0,00505052;8,3626;0,657508365;0,275512695;2
640;159,5391846;109,1134033;51,57020759;-1,486701073;-42,1038208;-50,42578125;-8,321960449;-5,770164001;0,0043168;7,2276;0,657330375;0,192321777;2
641;137,1763916;62,76794434;50,3752415;-0,742459887;-57,21350098;-74,40844727;-17,19494629;-5,458099745;0,00609605;1,8042;0,760461921;0,112243652;2
642;149,9472046;114,2935791;57,19661236;-0,775112769;-38,49761963;-35,65362549;2,843994141;-5,745490941;0,00370175;8,7816;0,647796317;0,483764648;2
643;143,4547729;95,67523193;51,16529118;-1,405380951;-49,49621582;-47,77954102;1,716674805;-6,391398668;0,00372082;10,8132;0,656324315;0,162414551;2
644;139,1758423;102,0769653;52,27882498;-0,364016896;-36,68353271;-37,09887695;-0,415344238;-5,733848469;0,00657484;1,7604;0,738979581;0,264709473;2
645;154,4953003;118,9898682;52,31029232;-0,813760208;-35,03070068;-35,50543213;-0,474731445;-5,593569765;0,00800486;1,7948;0,741534654;0,27923584;2
646;142,1055908;103,9629517;52,70973146;-0,414746313;-36,75640869;-38,14263916;-1,386230469;-5,676425038;0,0072361;2,0282;0,743920771;0,252441406;2
647;142,0441284;102,3599854;56,31259856;-0,262496406;-40,25292969;-39,68414307;0,568786621;-5,512655056;0,00691772;2,3524;0,738071302;0,170837402;2
648;137,4644775;88,36602783;56,01640504;-0,34487808;-47,69683838;-49,09844971;-1,401611328;-5,830664813;0,00485306;2,5872;0,724720152;0,121398926;2
649;162,1525269;127,8231201;56,70149294;-0,915739287;-35,4519043;-34,32940674;1,122497559;-5,651821043;0,00475318;13,1068;0,633994037;0,409973145;2
650;158,2573242;114,9649048;58,02483117;-0,696791768;-39,96166992;-43,29241943;-3,330749512;-5,494602887;0,00667098;9,4468;0,668593253;0,256835938;2
651;150,2316895;126,9400024;51,35568007;-1,392839685;-34,27368164;-23,29168701;10,98199463;-5,566220982;0,00636397;3,7014;0,68817407;0,79119873;2
652;145,5291138;121,0628662;53,20496154;-1,108696193;-36,84320068;-24,46624756;12,37695313;-5,718610619;0,00568724;5,5096;0,654744162;0,66015625;2
653;167,796814;143,732666;52,59197677;-2,077831336;-33,97253418;-24,06414795;9,90838623;-5,693926001;0,00605922;3,838;0,695054431;0,80847168;2
654;163,5123901;141,5008545;47,55053897;-2,395020759;-31,36645508;-22,01153564;9,354919434;-5,634338477;0,00615873;4,1722;0,691191102;0,891235352;2
655;165,8925171;142,2557373;47,10597422;-2,349344839;-31,262146;-23,63677979;7,625366211;-5,483706366;0,0083653;2,9354;0,711474149;0,813476563;2
656;155,4400635;133,1047974;43,10233326;-2,483427546;-30,86291504;-22,33526611;8,527648926;-5,296947493;0,00896413;2,8294;0,723379445;0,858825684;2
657;153,3266602;132,3702393;46,14995525;-1,957031198;-31,37286377;-20,9564209;10,41644287;-5,801562412;0,0049834;4,6904;0,685646643;0,932250977;2
658;161,4197388;140,8512573;46,72440017;-2,597849811;-32,60241699;-20,56848145;12,03393555;-5,561742659;0,00706582;7,021;0,669909275;0,929931641;2
659;147,0491943;126,8379517;49,13200555;-1,66515713;-34,06958008;-20,21124268;13,8583374;-5,878700403;0,00466883;4,8826;0,681198304;0,798522949;2
660;172,2366943;150,3288574;54,48494422;-2,392183923;-36,32403564;-21,90783691;14,41619873;-5,93465675;0,00651585;7,824;0,697728969;0,973388672;2
661;174,3826294;152,4035645;54,41140038;-2,252114257;-34,418396;-21,97906494;12,43933105;-5,643605287;0,00565525;3,1638;0,708568378;0,963928223;2
662;159,4337158;137,3166504;53,33799286;-1,50373768;-33,08984375;-22,11706543;10,97277832;-5,85129235;0,00433296;3,3994;0,698243661;0,88861084;2
